Categoria,nome,precoMaximo,percentualDesconto,quantidadeDisponivel,precoComDesconto,pesoEmGramas,foraDeEstoque,quantidade
Frutas e Legumes,Cebola,2500,16,3,2100,1000,FALSE,1
Frutas e Legumes,Tomate Hibrido,4200,16,3,3500,1000,FALSE,1
Frutas e Legumes,Coco Verde,5100,15,3,4300,58,FALSE,1
Frutas e Legumes,Coentro,2000,15,3,1700,100,FALSE,100
Frutas e Legumes,Quiabo ,1400,14,3,1200,250,FALSE,250
Frutas e Legumes,Batata,3500,17,3,2900,1000,FALSE,1
Frutas e Legumes,Limao,7500,16,3,6300,200,FALSE,200
Frutas e Legumes,Melancia ,5800,15,3,4900,58,FALSE,1
Frutas e Legumes,Pimentao Verde ,2300,17,3,1900,250,FALSE,250
Frutas e Legumes,Pimenta Verde ,1900,15,3,1600,100,FALSE,100
Frutas e Legumes,Banana Robusta,2900,17,3,2400,348,FALSE,6
Frutas e Legumes,Alho Indiana ,1100,18,3,900,100,FALSE,100
Frutas e Legumes,Couve-flor,2600,15,3,2200,58,FALSE,1
Frutas e Legumes,Gengibre,1400,14,3,1200,200,FALSE,200
Frutas e Legumes,Espinafre,1900,15,3,1600,250,FALSE,250
Frutas e Legumes,Melao,4200,16,3,3500,58,FALSE,1
Frutas e Legumes,Repolho ,1500,13,3,1300,58,FALSE,1
Frutas e Legumes,Feno-grego,3000,16,3,2500,250,FALSE,250
Frutas e Legumes,Brocolis,3600,16,3,3000,500,FALSE,500
Frutas e Legumes,Sapota,3000,16,3,2500,348,FALSE,6
Frutas e Legumes,Cebola,6800,16,3,5700,3000,FALSE,3
Frutas e Legumes,Batata,10000,16,3,8400,3000,FALSE,3
Frutas e Legumes,Laranja Nagpur,8200,15,3,6900,232,FALSE,4
Frutas e Legumes,Folhas de Hortela ,1100,18,3,900,100,FALSE,100
Frutas e Legumes,Feijao Francesa,3300,15,3,2800,250,FALSE,250
Frutas e Legumes,Abobrinha de Garrafa ,2600,15,3,2200,58,FALSE,1
Frutas e Legumes,Banana Elaichi ,5800,15,3,4900,348,FALSE,6
Frutas e Legumes,Coco Grande,3600,16,3,3000,58,FALSE,1
Frutas e Legumes,Folhas de Curry,1300,15,3,1100,50,FALSE,50
Frutas e Legumes,Berinjela Bharta,1900,15,3,1600,58,FALSE,1
Frutas e Legumes,Alface Americana,2500,16,3,2100,250,FALSE,250
Frutas e Legumes,Mamao,5400,16,3,4500,58,FALSE,1
Frutas e Legumes,Maca Shimla,14200,16,3,11900,232,FALSE,4
Frutas e Legumes,Melao de Sao Caetano,1800,16,3,1500,250,FALSE,250
Frutas e Legumes,Berinjela Pequeno,1800,16,3,1500,250,FALSE,250
Frutas e Legumes,Milho Doce,3600,16,3,3000,116,FALSE,2
Frutas e Legumes,Cebolinha ,1800,16,3,1500,250,FALSE,250
Frutas e Legumes,Bell Pimentoes Vermelho & Amarelo ,11800,16,3,9900,116,FALSE,2
Frutas e Legumes,Roma ,10600,16,3,8900,116,FALSE,2
Frutas e Legumes,Lima Doce,3000,16,3,2500,116,FALSE,2
Frutas e Legumes,Bebe Batata,1900,15,3,1600,500,FALSE,500
Frutas e Legumes,Coccinia,3200,15,3,2700,250,FALSE,250
Frutas e Legumes,Goiaba,5400,16,3,4500,232,FALSE,4
Frutas e Legumes,Maca Washington,17700,15,3,14900,232,FALSE,4
Frutas e Legumes,Amla,3200,15,3,2700,250,FALSE,250
Frutas e Legumes,Feijao Gavinha,3000,16,3,2500,250,FALSE,250
Frutas e Legumes,Maca Royal Gala,18900,15,3,15900,232,FALSE,4
Frutas e Legumes,Pimenta Bhaji,3000,16,3,2500,250,FALSE,250
Frutas e Legumes,Alface Verde,2300,17,3,1900,100,FALSE,100
Frutas e Legumes,Bebe Milho Descascado,3500,17,3,2900,250,FALSE,250
Frutas e Legumes,Misto Brotos,3500,17,3,2900,200,FALSE,200
Frutas e Legumes,Abobrinha Verde,3500,17,3,2900,250,FALSE,250
Frutas e Legumes,Feijao Larga,4200,16,3,3500,250,FALSE,250
Frutas e Legumes,Banana Verde,2000,15,6,1700,500,FALSE,500
Frutas e Legumes,Inhame ,2900,17,6,2400,500,FALSE,500
Frutas e Legumes,Tomate Cereja ,3500,17,3,2900,200,FALSE,200
Frutas e Legumes,Batata Doce ,3800,15,3,3200,500,FALSE,500
Frutas e Legumes,Abacaxi Fatia,8900,15,3,7500,200,FALSE,200
Frutas e Legumes,Laranja,5400,16,3,4500,116,FALSE,2
Frutas e Legumes,Drago Fruta Importado,7000,15,3,5900,58,FALSE,1
Frutas e Legumes,Abobrinha Amarelo,4200,16,3,3500,250,FALSE,500
Frutas e Legumes,Maca Kinnaur,14200,16,6,11900,232,FALSE,4
Frutas e Legumes,Abacaxi,9400,15,3,7900,58,FALSE,1
Frutas e Legumes,Basil,2000,15,3,1700,100,FALSE,100
Frutas e Legumes,Salsa,1700,17,3,1400,100,FALSE,100
Frutas e Legumes,Abobrinha Crespa,3000,16,3,2500,500,FALSE,500
Frutas e Legumes,Mamao Cortado,4600,15,3,3900,200,FALSE,200
Frutas e Legumes,Roma Descascado,5800,15,2,4900,100,FALSE,100
